1,"April 2, 2006","Marketo -- B2B Marketing Automation, Lead Acquisition, Lead Nurturing, and Demand Generation",http://web.archive.org/web/20060402000000/http://marketo.com/
2,"October 29, 2006",Marketo - Homepage,http://web.archive.org/web/20061029000000/http://www.marketo.com/
3,"December 22, 2006",Marketo - Homepage,http://web.archive.org/web/20061222000000/http://marketo.com/
4,"June 2, 2007",Marketo | B2B Marketing Automation Software,http://web.archive.org/web/20070602000000/http://www.marketo.com/#
5,"October 6, 2007",Marketo | B2B Marketing Automation Software,http://web.archive.org/web/20071006000000/http://www.marketo.com/
6,"December 27, 2007",Marketo | B2B Marketing Automation Software,http://web.archive.org/web/20071227000000/http://www.marketo.com/
7,"March 26, 2008",Sophisticated yet Easy B2B Marketing Software - Marketo,http://web.archive.org/web/20080326000000/http://www.marketo.com/?
8,"May 27, 2008",Sophisticated yet Easy B2B Marketing Software - Marketo,http://web.archive.org/web/20080527000000/http://www.marketo.com/?
9,"August 3, 2008",Sophisticated yet Easy B2B Marketing Automation Software - Marketo,http://web.archive.org/web/20080803000000/http://www.marketo.com/
10,"December 20, 2008",Marketing Automation - Powerful Yet Easy - Free Trial - Marketo,http://web.archive.org/web/20081220000000/http://www.marketo.com/
11,"June 5, 2009",Marketing Automation - Powerful Yet Easy - Free Trial - Marketo,http://web.archive.org/web/20090605191718/http://www.marketo.com/index.php
12,"December 21, 2009",Marketing Automation - Powerful Yet Easy - Free Trial - Marketo,http://web.archive.org/web/20091221191810/http://www.marketo.com/index.php
13,"March 28, 2010",B2B Marketing Automation - Lead Generation - Free Trial - Marketo,http://web.archive.org/web/20100328000000/http://www.marketo.com/
14,"July 13, 2010",B2B Marketing Automation - Lead Generation - Free Trial - Marketo,http://web.archive.org/web/20100713000000/http://www.marketo.com/
15,"December 25, 2010",B2B Marketing Automation - Lead Generation - Free Trial - Marketo,http://web.archive.org/web/20101225000000/http://www.marketo.com/
16,"March 23, 2011",B2B Marketing Automation - Lead Generation - Free Trial - Marketo,http://web.archive.org/web/20110323000000/http://www.marketo.com/
17,"January 4, 2012",B2B Marketing Automation - Lead Generation - Free Trial - Marketo,http://web.archive.org/web/20120104000000/http://www.marketo.com/
18,"February 25, 2012",B2B Marketing Automation - Lead Generation - Free Trial - Marketo,http://web.archive.org/web/20120225000000/http://www.marketo.com/
19,"October 4, 2012",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20121005000000/http://www.marketo.com/
20,"November 12, 2012",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20121112000000/http://www.marketo.com/
21,"December 26, 2012",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20121226000000/http://www.marketo.com/
22,"March 25, 2013",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20130325000000/http://www.marketo.com/
23,"November 20, 2013",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20131121000000/http://www.marketo.com/
24,"December 30, 2013",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20131230000000/http://marketo.com/
25,"January 29, 2014",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20140130000000/http://marketo.com/
26,"May 15, 2014",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20140515010557/http://www.marketo.com/
27,"August 30, 2014",Marketing Automation Software - Easy. Powerful. Complete. - Marketo,http://web.archive.org/web/20140830000000/http://marketo.com/
28,"October 31, 2014",Marketing Automation Software - Easy. Powerful. Complete. - Marketo.com,http://web.archive.org/web/20141031000000/http://marketo.com/
29,"November 27, 2014",Marketing Automation Software - Easy. Powerful. Complete. - Marketo.com,http://web.archive.org/web/20141127000000/http://marketo.com/
30,"December 24, 2014",Marketing Automation Software - Easy. Powerful. Complete. - Marketo.com,http://web.archive.org/web/20141224000000/http://marketo.com/
31,"March 29, 2015",Marketing Automation Software - Easy. Powerful. Complete. - Marketo.com,http://web.archive.org/web/20150329000000/http://marketo.com/
32,"May 7, 2015",Marketo: Best-in-Class Marketing Automation Software,http://web.archive.org/web/20150507000000/http://www.marketo.com/
